id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1166407554544737641,Homevision - Boutique Pop Up Condo - City Center,515398068,Homevision,,Thessaloniki,40.63301,22.9477,Entire home/apt,128,2,9,2024-12-10,1.46,12,257,9,00002665870
1166482259117490856,Arch View Apartment,261937610,Dimitriadis,,Thessaloniki,40.63062,22.95248,Entire home/apt,117,2,8,2024-12-22,1.15,10,354,8,00002660195
1166491687358779235,Green Oasis w/ Free Parking 5 min. from the centre,571841701,Evangelos,,Thessaloniki,40.61571,22.96591,Entire home/apt,105,3,2,2024-11-25,0.34,1,259,2,00002600407
1166559524898149153,"Cielo #2, The Luxury Suites",280458084,The Luxury Suites,,Thessaloniki,40.63672,22.93564,Entire home/apt,123,2,21,2024-11-17,3.28,175,174,21,00002672549
1167504385501689019,Luxury Downtown Apartment D1,485800812,Kinfeel North,,Thessaloniki,40.63047,22.951,Entire home/apt,214,1,13,2024-11-13,2.02,8,230,13,00002669760
1167900522594117106,"Nexia, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.64186,22.9397,Entire home/apt,65,1,28,2024-12-12,4.38,284,0,28,2635581
1167924248187560498,"Nexia , Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.64185,22.93835,Entire home/apt,70,1,9,2024-12-23,2.84,284,7,9,2562660
1167948533615209739,Cosmopolitan Oasis by thesbnb 2,379910184,Νικόλαος,,Thessaloniki,40.63683,22.93933,Entire home/apt,92,1,5,2024-11-11,0.77,31,361,5,00002092845
1167972914724522183,Valeria: Comfortable apartment with city view,251290631,Halu,,Thessaloniki,40.63211,22.9455,Entire home/apt,279,1,14,2024-12-23,3.33,92,341,14,00002607892
1167978745523684944,"Iasonas Downtown 
 Tsimiski Ladadika",580506995,Ελισαβετ,,Thessaloniki,40.635479,22.9382905,Entire home/apt,61,2,2,2024-07-14,0.29,1,261,2,00002592145
1168110804343597173,Great Sea View / 2bed / 6P,280251551,Christos,,Thessaloniki,40.64649,22.94646,Entire home/apt,80,2,6,2024-11-21,0.98,1,243,6,00002678990
1168139864871744443,Hermes Garden,580548580,MyRoom,,Thessaloniki,40.63428,22.95949,Entire home/apt,63,2,0,,,1,69,0,00002450926
1168177571268799243,Διαμέρισμα στην πόλη Θεσσαλονίκη - THESS HOME,356589497,Eleni,,Thessaloniki,40.64214,22.94384,Entire home/apt,80,1,38,2024-12-09,7.50,1,76,38,00002679260
1168245167057794014,Eva’s home,509850288,Ευαγγελινή,,Thessaloniki,40.6455419,22.9219954,Entire home/apt,45,1,17,2024-12-15,2.48,1,249,17,00002616299
1168627113750902735,Appartment at Byzantium,50532081,Δέσποινα,,Kalamaria,40.5892974,22.9562885,Entire home/apt,60,1,0,,,1,82,0,00000400858
1168650598579522516,Leonardo: Mondern apartment in the center,251290631,Halu,,Thessaloniki,40.63375,22.94418,Entire home/apt,,1,4,2024-09-29,0.72,92,292,4,00002608040
1168699396018580115,"Florence, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.62718,22.94875,Entire home/apt,68,1,12,2024-10-26,2.37,284,241,12,2410166
1168930183373927760,Apartment in Thessaloniki,579723925,Lazaros,,Thessaloniki,40.6234812,22.9742917,Entire home/apt,40,2,8,2024-12-20,2.45,1,167,8,00002738590
1169204580367328444,katalagia Modern suite,293672648,Zoe,,Thessaloniki,40.6415887,22.9379179,Entire home/apt,59,1,14,2024-12-06,2.50,4,259,14,00002671138
1169639529296972299,Loft Living Thessaloniki,44815306,Eva,,Kalamaria,40.57736,22.94619,Entire home/apt,130,2,2,2024-12-04,2,3,341,2,00002870700
1169929339258295058,Β&Μ suites,502772007,Anna,,Thessaloniki,40.63290303700692,22.939975820481777,Entire home/apt,67,2,10,2024-12-08,1.50,1,123,10,00002679759
